property_id,similar_property_ids
COMP-1671847755451965913,"['COMP-1703642892053580409', 'COMP-1704415554463451433']"
COMP-1671921473406547665,"['COMP-1668078371360461433', 'COMP-1388437577056308105', 'RPLU-5122666693', 'COMP-1615930101813566681', 'COMP-1028288726393059337']"
COMP-1674030382880363265,"['COMP-1576724244191068073', 'COMP-1597126731254797809']"
COMP-1674152298639627961,"['RPLU-810123209174', 'RLMX-102595', 'RPLU-63222882290', 'COMP-1666753533903267761', 'RPLU-5123133560']"
COMP-1674179785097031889,"['COMP-1687934018254174929', 'COMP-1667606033422999721', 'COMP-1631240054457564601', 'COMP-1587176725117662809', 'COMP-1636449816503481273']"
COMP-1674625304830770481,"['COMP-1572678218651844553', 'COMP-1663879906986800049', 'COMP-1654387503898625521', 'COMP-1581441746193335569', 'COMP-1594914606390349417']"
COMP-1674664876789264937,"['COMP-1700326410294492937', 'COMP-1560950891091055521', 'COMP-1626795694196208833', 'COMP-1578293122336349425', 'COMP-1606646355896068113']"
COMP-1675952218048982105,"['COMP-1592821445178061793', 'RPLU-5123133560', 'RPLU-33422914357', 'RLMX-100491', 'RPLU-63223231418']"
COMP-1676878587171509657,"['COMP-1631228942630597225', 'COMP-1643014267191722529', 'COMP-1674625304830770481', 'COMP-1679125010216594385', 'OLRS-00012083967']"
COMP-1678263033280950097,['RPLU-21923205399']
COMP-1679125010216594385,"['COMP-1600313958816227969', 'COMP-1663879906986800049', 'RLMX-102216', 'COMP-1631235707120164569', 'COMP-1634199214725987889']"
COMP-1679157401894986137,"['COMP-1597126731254797809', 'COMP-1657273867983641369', 'COMP-1639472938880434977', 'COMP-1073875481516409729', 'COMP-1576724244191068073']"
COMP-1679165774380144289,"['RLMX-104046', 'RPLU-33423258308', 'OLRS-23686', 'COMP-1581441746193335569', 'OLRS-0001120395']"
COMP-1683394632151751489,"['COMP-1684255452700463401', 'OLRS-00041953770', 'OLRS-00042072564', 'OLRS-00011543576', 'COMP-1600885881408902177']"
COMP-1684255452700463401,"['COMP-1702962826845723313', 'COMP-1703127448319631569']"
COMP-1687705570193539785,"['COMP-1692882975591777929', 'COMP-1388437577056308105', 'COMP-1555844860911569033', 'COMP-1304429945676227761', 'COMP-1606646355896068113']"
COMP-1687763319854214937,"['COMP-1704415554463451433', 'RPLU-33423245474', 'COMP-1703642892053580409']"
COMP-1687834880686195489,"['RPLU-33422833364', 'PRCH-3769571', 'RPLU-63222882290', 'RPLU-1032522985083', 'RPLU-5123103983']"
COMP-1687868131073292921,"['PRCH-7924145', 'RPLU-850722960702', 'OLRS-0097081', 'OLRS-0096726', 'COMP-1572638421904287593']"
COMP-1687934018254174929,"['COMP-1667606033422999721', 'COMP-1631240054457564601', 'COMP-1560950891091055521', 'COMP-1697335308019627609', 'COMP-1576106955267332465']"
COMP-1689216322633297409,"['COMP-1572678218651844553', 'COMP-1639260620393536617', 'COMP-1674625304830770481', 'COMP-1690914971956798409', 'COMP-1594914606390349417']"
COMP-1690062557465025689,['COMP-1617515355968373561']
COMP-1690914971956798409,"['COMP-1631152331419512057', 'COMP-1689216322633297409', 'COMP-1572678218651844553', 'COMP-1600893304278402521', 'COMP-1668300016553865249']"
COMP-1692205276845515385,"['COMP-1651690087004080009', 'COMP-1698937623458366481', 'COMP-1571933165339854425', 'COMP-1581441746193335569', 'COMP-1600893304278402521']"
COMP-1692880533047411593,"['COMP-1572678218651844553', 'COMP-1598023107036980129', 'COMP-1631152331419512057', 'COMP-1703127448319631569']"
COMP-1692882975591777929,"['COMP-1687705570193539785', 'RPLU-63223229842', 'COMP-1304429945676227761', 'RLMX-102945']"
COMP-1692976956094756921,"['COMP-1663891303381073697', 'COMP-1687934018254174929', 'COMP-1674179785097031889', 'COMP-1697335308019627609', 'COMP-1661684773988972089']"
COMP-1693475058660953377,"['COMP-1684255452700463401', 'COMP-1631228942630597225', 'OLRS-380675', 'COMP-1707598032607303713', 'COMP-1702962826845723313']"
COMP-1693803675186021017,"['COMP-1616033953804701129', 'COMP-1594914606390349417', 'COMP-1703642892053580409', 'COMP-1705214924582711849']"
COMP-1694297153749568729,"['COMP-1669226463619188897', 'COMP-1661684773988972089', 'RPLU-5121683820']"
COMP-1695013410850147689,"['COMP-1634158284719157929', 'COMP-1703843709666251289', 'COMP-1705398161753928793', 'COMP-1703642892053580409']"
COMP-1697218610109352377,"['COMP-1555844860911569033', 'COMP-1679157401894986137', 'COMP-1700326410294492937', 'COMP-1674664876789264937']"
COMP-1697335308019627609,"['COMP-1652267833590505625', 'COMP-1576106955267332465', 'COMP-1687934018254174929', 'COMP-1631240054457564601']"
COMP-1698937623458366481,"['COMP-1581441746193335569', 'COMP-1647940439374622817', 'RPLU-33423258308', 'COMP-1692205276845515385', 'COMP-1596750905325669729']"
COMP-1699321743153892657,"['COMP-1663899797962031409', 'COMP-1597149764770014809', 'COMP-1522081953441679065']"
COMP-1699481757370922057,"['COMP-1690914971956798409', 'COMP-1639260620393536617', 'COMP-1600893304278402521', 'COMP-1597149764770014809', 'COMP-1651690087004080009']"
COMP-1700225521102120465,"['COMP-1700326410294492937', 'COMP-1661765218533397433', 'COMP-1636449816503481273', 'COMP-1667606033422999721', 'COMP-1626795694196208833']"
COMP-1700326410294492937,"['COMP-1674664876789264937', 'COMP-1700225521102120465', 'COMP-1622470612908695729', 'COMP-1560950891091055521', 'COMP-1636449816503481273']"
COMP-1700396640383759569,"['COMP-1639260620393536617', 'COMP-1690914971956798409', 'COMP-1600893304278402521', 'COMP-1674625304830770481', 'COMP-1640048978786674161']"
COMP-1702416530636040561,"['COMP-1663821335494630033', 'COMP-1663891303381073697', 'COMP-1304429945676227761', 'COMP-1555844860911569033', 'COMP-1631240054457564601']"
COMP-1702962826845723313,"['COMP-1684255452700463401', 'COMP-1707319189400742457', 'COMP-1704022342104489353']"
COMP-1703127448319631569,"['COMP-1631152331419512057', 'COMP-1684255452700463401', 'COMP-1572678218651844553', 'COMP-1668300016553865249']"
COMP-1703642892053580409,"['COMP-1671847755451965913', 'COMP-1704022342104489353', 'COMP-1703843709666251289', 'COMP-1616033953804701129']"
COMP-1703843709666251289,"['COMP-1703642892053580409', 'COMP-1695013410850147689', 'COMP-1704022342104489353']"
COMP-1704022342104489353,"['COMP-1703642892053580409', 'COMP-1702962826845723313', 'COMP-1703843709666251289', 'COMP-1695013410850147689', 'COMP-1707319189400742457']"
COMP-1704415554463451433,['OLRS-2107827']
COMP-1705214924582711849,"['COMP-1581441746193335569', 'COMP-1622727575885905529', 'RPLU-33423258308', 'COMP-1647940439374622817', 'COMP-1616033953804701129']"
COMP-1705258241987142361,"['COMP-1690914971956798409', 'COMP-1631152331419512057', 'COMP-1668300016553865249', 'COMP-1689216322633297409']"
COMP-1705398161753928793,"['COMP-1639260620393536617', 'COMP-1695013410850147689', 'COMP-1684255452700463401']"
COMP-1707319189400742457,"['COMP-1702962826845723313', 'COMP-1704022342104489353', 'COMP-1684255452700463401', 'COMP-1703127448319631569']"
COMP-1707598032607303713,"['COMP-1581441746193335569', 'COMP-1705214924582711849', 'COMP-1654387503898625521', 'COMP-1674625304830770481', 'COMP-1622727575885905529']"
