property_id,similar_property_ids
COMP-1689216322633297409,"['COMP-1705214924582711849', 'COMP-1705258241987142361', 'OLRS-2094098', 'RLMX-101839', 'RPLU-798323224619']"
COMP-1690062557465025689,"['COMP-1505362808172668593', 'COMP-1703843709666251289', 'COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1616033953804701129']"
COMP-1690914971956798409,"['COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1436460808857829281', 'RPLU-798323224619', 'COMP-1594914606390349417']"
COMP-1692205276845515385,"['COMP-1651690087004080009', 'RLMX-99756', 'RPLU-850722660979', 'COMP-1698937623458366481', 'RLMX-012130023559']"
COMP-1692880533047411593,"['RLMX-99756', 'RPLU-850722660979', 'COMP-1674152298639627961', 'RLMX-012130023559', 'COMP-1674030382880363265']"
COMP-1692882975591777929,"['COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1652625139931046953', 'RPLU-798323224619', 'COMP-1671847755451965913']"
COMP-1692976956094756921,"['COMP-1705258241987142361', 'OLRS-2094098', 'PRCH-7852487', 'RPLU-798323224619', 'PRCH-20970645']"
COMP-1693475058660953377,"['RPLU-798323224619', 'COMP-1705258241987142361', 'OLRS-2094098', 'RLMX-103953', 'RLMX-104265']"
COMP-1693803675186021017,"['COMP-1703127448319631569', 'COMP-1705258241987142361', 'OLRS-2094098', 'RPLU-798323224619', 'RLMX-99629']"
COMP-1694297153749568729,"['COMP-1705214924582711849', 'COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1647940439374622817', 'RPLU-798323224619']"
COMP-1695013410850147689,"['OLRS-00011942796', 'COMP-1505362808172668593', 'COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1652389380779563401']"
COMP-1697218610109352377,"['COMP-1705258241987142361', 'RPLU-33421742655', 'COMP-1705214924582711849', 'OLRS-2094098', 'COMP-1517462717684409937']"
COMP-1697335308019627609,"['COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1597126731254797809', 'RPLU-798323224619', 'COMP-1504560063073054049']"
COMP-1698937623458366481,"['COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1651690087004080009', 'RPLU-798323224619', 'COMP-1692205276845515385']"
