property_id,similar_property_ids
COMP-1687763319854214937,"['COMP-1627678941656003193', 'COMP-1700326410294492937', 'COMP-1697335308019627609', 'COMP-1642862667948992665', 'COMP-1571825143908990513']"
COMP-1687834880686195489,"['RPLU-63222882290', 'RPLU-1032522874300', 'COMP-1414057768284297713', 'OLRS-0094152', 'RPLU-850722976063']"
COMP-1687868131073292921,"['COMP-1572638421904287593', 'COMP-1674030382880363265', 'COMP-1603041749260979113', 'OLRS-0097167', 'RPLU-1086922371161']"
COMP-1687934018254174929,"['COMP-1679157401894986137', 'COMP-1623959750280275713', 'COMP-1693803675186021017', 'COMP-1705214924582711849', 'COMP-1707319189400742457']"
COMP-1689216322633297409,"['COMP-1663879906986800049', 'COMP-1436460808857829281', 'COMP-1654387503898625521', 'COMP-1705214924582711849', 'COMP-1639260620393536617']"
COMP-1690062557465025689,"['COMP-1702962826845723313', 'COMP-1616033953804701129', 'COMP-1631240054457564601', 'COMP-1658345314333037049', 'COMP-1576724244191068073']"
COMP-1690914971956798409,"['COMP-1674664876789264937', 'COMP-1631152331419512057', 'COMP-1497261247040023473', 'COMP-1683394632151751489', 'COMP-1679157401894986137']"
COMP-1692205276845515385,"['COMP-1600893304278402521', 'COMP-1631235707120164569', 'COMP-1641339597199235881', 'COMP-1631228942630597225', 'COMP-1690914971956798409']"
COMP-1692880533047411593,"['COMP-1616033953804701129', 'COMP-1572678218651844553', 'COMP-1598466006380078129', 'COMP-1679125010216594385', 'COMP-1674030382880363265']"
COMP-1692882975591777929,"['COMP-1597149764770014809', 'COMP-1623959750280275713', 'COMP-1358892558767100129', 'COMP-1687705570193539785', 'COMP-1663891303381073697']"
COMP-1692976956094756921,"['COMP-1044261925146742785', 'RPLU-1032522874300', 'COMP-1334197106944638753', 'RPLU-33423230018', 'COMP-1414057768284297713']"
COMP-1693475058660953377,"['COMP-1684255452700463401', 'COMP-1705214924582711849', 'COMP-1517462717684409937', 'COMP-1667606033422999721', 'COMP-1643634096278961985']"
COMP-1693803675186021017,"['COMP-1623959750280275713', 'COMP-1705214924582711849', 'COMP-1679157401894986137', 'COMP-1566040567294000449', 'COMP-1687934018254174929']"
COMP-1694297153749568729,"['COMP-1705214924582711849', 'COMP-1679125010216594385', 'COMP-1657273867983641369', 'COMP-1707319189400742457', 'COMP-1669226463619188897']"
COMP-1695013410850147689,"['COMP-1639472938880434977', 'COMP-1642862667948992665', 'COMP-1700225521102120465', 'COMP-1073874865398307513', 'COMP-1636449816503481273']"
COMP-1697218610109352377,"['RPLU-33422833364', 'COMP-1640048978786674161', 'COMP-1358892558767100129', 'COMP-1592821445178061793', 'COMP-1623959750280275713']"
COMP-1697335308019627609,"['COMP-1703642892053580409', 'COMP-1661765218533397433', 'RPLU-33422974931', 'COMP-1655237396959534561', 'COMP-1631240054457564601']"
COMP-1698937623458366481,"['RPLU-63223179982', 'COMP-1596750905325669729', 'OLRS-0097153', 'OLRS-0097471', 'RPLU-21923204633']"
COMP-1699321743153892657,"['COMP-1697218610109352377', 'COMP-1663899797962031409', 'COMP-1592821445178061793', 'COMP-1702416530636040561', 'COMP-1703127448319631569']"
COMP-1699481757370922057,"['OLRS-290390', 'RLMX-104277', 'RPLU-850722603906', 'RPLU-21923204633', 'RPLU-63223179982']"
COMP-1700225521102120465,"['COMP-1634158284719157929', 'COMP-1642862667948992665', 'COMP-1695013410850147689', 'COMP-1661684773988972089', 'COMP-1652267833590505625']"
COMP-1700326410294492937,"['COMP-1671847755451965913', 'COMP-1653087286297412553', 'COMP-1642862667948992665', 'COMP-1661765218533397433', 'COMP-1627678941656003193']"
COMP-1700396640383759569,"['COMP-1641339597199235881', 'COMP-1600893304278402521', 'COMP-1631235707120164569', 'COMP-1690914971956798409', 'COMP-1631228942630597225']"
COMP-1702416530636040561,"['COMP-1358892558767100129', 'COMP-1663891303381073697', 'COMP-1687705570193539785', 'COMP-1623959750280275713', 'COMP-1576724244191068073']"
COMP-1702962826845723313,"['COMP-1658345314333037049', 'COMP-1653087286297412553', 'COMP-1690062557465025689', 'COMP-1626795694196208833', 'COMP-1693803675186021017']"
COMP-1703127448319631569,"['COMP-1658345314333037049', 'COMP-1702962826845723313', 'COMP-1693803675186021017', 'COMP-1679157401894986137', 'COMP-1653087286297412553']"
COMP-1703642892053580409,"['COMP-1661765218533397433', 'COMP-1697335308019627609', 'COMP-1655237396959534561', 'COMP-1707319189400742457', 'PRCH-8355716']"
COMP-1703843709666251289,"['COMP-1631240054457564601', 'COMP-1694297153749568729', 'COMP-1707319189400742457', 'COMP-1505362808172668593', 'COMP-1626795694196208833']"
COMP-1704022342104489353,"['OLRS-0001934166', 'COMP-1684255452700463401', 'COMP-1705398161753928793', 'COMP-1626795694196208833', 'COMP-1693803675186021017']"
COMP-1704415554463451433,"['RPLU-33423206629', 'PRCH-8355716', 'RPLU-33422974931', 'PRCH-35233722', 'OLRS-00011566987']"
COMP-1705214924582711849,"['COMP-1674625304830770481', 'COMP-1679125010216594385', 'COMP-1693803675186021017', 'COMP-1617515355968373561', 'COMP-1694297153749568729']"
COMP-1705258241987142361,"['COMP-1653087286297412553', 'COMP-1690914971956798409', 'COMP-1545857564879067849', 'COMP-1626795694196208833', 'COMP-1674664876789264937']"
COMP-1705398161753928793,"['COMP-1497261247040023473', 'COMP-1578293122336349425', 'COMP-1684255452700463401', 'COMP-1674664876789264937', 'COMP-1679157401894986137']"
COMP-1707319189400742457,"['COMP-1631240054457564601', 'COMP-1649481302051527089', 'COMP-1703642892053580409', 'COMP-1655237396959534561', 'COMP-1697335308019627609']"
COMP-1707598032607303713,"['COMP-1545857564879067849', 'COMP-1694297153749568729', 'COMP-1684255452700463401', 'COMP-1627741207465543745', 'COMP-1693803675186021017']"
